title,authors,year,journal,doi,cited_by,classification,accuracy,reason,concepts,keywords,bibtex
Harnessing the Power of LLMs in Practice: A Survey on ChatGPT and Beyond,"Jingfeng Yang, Hongye Jin, Ruixiang Tang, Xiaotian Han, Qizhang Feng, Haoming Jiang, Shaochen Zhong, Bing Yin, Xia Hu",2024,ACM Transactions on Knowledge Discovery from Data,https://doi.org/10.1145/3649506,433,neither,0%,"The paper provides a comprehensive guide for practitioners, discusses the usage of LLMs, and presents various NLP tasks, without making any specific improvements to LLMs themselves","Power (physics), Data science, Geography, Political science","Power (physics), Data science, Geography, Political science, Computer science","@article{JingfengYang2024,   title   = {Harnessing the Power of LLMs in Practice: A Survey on ChatGPT and Beyond},   author  = {Jingfeng Yang, Hongye Jin, Ruixiang Tang, Xiaotian Han, Qizhang Feng, Haoming Jiang, Shaochen Zhong, Bing Yin, Xia Hu},   journal = {ACM Transactions on Knowledge Discovery from Data},   year    = {2024},   volume  = {18},   number  = {6},   pages   = {1--32},   doi     = {https://doi.org/10.1145/3649506}, }"
A Survey on RAG Meeting LLMs: Towards Retrieval-Augmented Large Language Models,"Wenqi Fan, Yujuan Ding, Liangbo Ning, Shijie Wang, Hengyun Li, Dawei Yin, Tat‐Seng Chua, Qing Li",2024,N/A,https://doi.org/10.1145/3637528.3671470,427,neither,0%,"The paper is about a survey on using RAG in LLMs, not about improving the models themselves, but rather exploring their applications and benefits","Computer science, Information retrieval, Natural language processing","Computer science, Information retrieval, Natural language processing","@article{WenqiFan2024,   title   = {A Survey on RAG Meeting LLMs: Towards Retrieval-Augmented Large Language Models},   author  = {Wenqi Fan, Yujuan Ding, Liangbo Ning, Shijie Wang, Hengyun Li, Dawei Yin, Tat‐Seng Chua, Qing Li},   journal = {N/A},   year    = {2024},   pages   = {6491--6501},   doi     = {https://doi.org/10.1145/3637528.3671470}, }"
Using an LLM to Help With Code Understanding,"Daye Nam, Andrew Macvean, Vincent J. Hellendoorn, Bogdan Vasilescu, Brad A. Myers",2024,N/A,https://doi.org/10.1145/3597503.3639187,244,efficiency,80%,"The paper provides a first investigation of an LLM-based conversational UI built directly in the IDE, which queries OpenAI's GPT-3.5-turbo model without explicit prompts, reducing the need for user input, and thus improving the efficiency of the code understanding process","Plug-in, Computer science, Code (set theory), Documentation, World Wide Web, Domain (mathematical analysis), Process (computing), Software engineering, Task (project management), Programming language, Key (lock), Domain-specific language, Human–computer interaction","Plug-in, Computer science, Code (set theory), Documentation, World Wide Web, Domain (mathematical analysis), Process (computing), Software engineering, Task (project management), Programming language, Key (lock), Domain-specific language, Human–computer interaction, Computer security, Engineering","@article{DayeNam2024,   title   = {Using an LLM to Help With Code Understanding},   author  = {Daye Nam, Andrew Macvean, Vincent J. Hellendoorn, Bogdan Vasilescu, Brad A. Myers},   journal = {N/A},   year    = {2024},   pages   = {1--13},   doi     = {https://doi.org/10.1145/3597503.3639187}, }"
Recommender Systems in the Era of Large Language Models (LLMs),"Zihuai Zhao, Wenqi Fan, Jiatong Li, Yunqing Liu, Xiaowei Mei, Yiqi Wang, Zhen Wen, Fei Wang, Xiangyu Zhao, Jiliang Tang, Qing Li",2024,IEEE Transactions on Knowledge and Data Engineering,https://doi.org/10.1109/tkde.2024.3392335,275,neither,40%,"The paper discusses recommender systems, a tool that uses AI/ML, to improve user experiences, not specifically improving AI/ML models themselves.","Computer science, Recommender system, Data science, World Wide Web, Information retrieval","Computer science, Recommender system, Data science, World Wide Web, Information retrieval","@article{ZihuaiZhao2024,   title   = {Recommender Systems in the Era of Large Language Models (LLMs)},   author  = {Zihuai Zhao, Wenqi Fan, Jiatong Li, Yunqing Liu, Xiaowei Mei, Yiqi Wang, Zhen Wen, Fei Wang, Xiangyu Zhao, Jiliang Tang, Qing Li},   journal = {IEEE Transactions on Knowledge and Data Engineering},   year    = {2024},   volume  = {36},   number  = {11},   pages   = {6889--6907},   doi     = {https://doi.org/10.1109/tkde.2024.3392335}, }"
Mental-LLM,"Xuhai Xu, Bingsheng Yao, Yuanzhe Dong, Saadia Gabriel, Hong Yu, James Hendler, Marzyeh Ghassemi, Anind K. Dey, Dakuo Wang",2024,Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies,https://doi.org/10.1145/3643540,151,neither,20%,"The paper evaluates LLMs on various mental health prediction tasks, focusing on their capabilities and limitations, rather than improving their efficiency or scaling.","Mental health, Set (abstract data type), Computer science, Task (project management), Variety (cybernetics), Psychology","Mental health, Set (abstract data type), Computer science, Task (project management), Variety (cybernetics), Psychology, Artificial intelligence, Psychiatry, Engineering","@article{XuhaiXu2024,   title   = {Mental-LLM},   author  = {Xuhai Xu, Bingsheng Yao, Yuanzhe Dong, Saadia Gabriel, Hong Yu, James Hendler, Marzyeh Ghassemi, Anind K. Dey, Dakuo Wang},   journal = {Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies},   year    = {2024},   volume  = {8},   number  = {1},   pages   = {1--32},   doi     = {https://doi.org/10.1145/3643540}, }"
DeepSeek-R1 incentivizes reasoning in LLMs through reinforcement learning,"Daya Guo, Dejian Yang, Haowei Zhang, Junxiao Song, Peiyi Wang, Qihao Zhu, Runxin Xu, Ruoyu Zhang, Shirong Ma, Xiao Bi, Xiaokang Zhang, Xingkai Yu, Zhenhua Wu, Zhibin Gou, Zhihong Shao, Zhuoshu Li, Ziyi Gao, Aixin Liu, Bing Xue, Bingxuan Wang, Bowen Wu, Bei Feng, Chengda Lu, Chenggang Zhao, Chengqi Deng, Chong Ruan, Damai Dai, Deli Chen, Dongjie Ji, Erhang Li, Fangyun Lin, Fengze Dai, Fuli Luo, Guangbo Hao, Guan-Ting Chen, Guowei Li, Hongjun Zhang, Hanwei Xu, Honghui Ding, Huazuo Gao, Hui Qu, Hui Li, Jianzhong Guo, Jiashi Li, Jingchang Chen, Jingyang Yuan, Jiagang Tu, Junjie Qiu, Junlong Li, Jiali Cai, Jiaqi Ni, Jian Liang, Jing Chen, Kai Dong, Kai Hu, Kaichao You, Kaige Gao, Kang Guan, Kexin Huang, Kuai Yu, Lean Wang, Lecong Zhang, Liang Zhao, Litong Wang, Liyue Zhang, Lei Xu, L. Xia, Mingchuan Zhang, Minghua Zhang, Minghui Tang, Mingxu Zhou, Meng Li, Miaojun Wang, Mingming Li, Ning Tian, Panpan Huang, Peng Zhang, Qiancheng Wang, Qinyu Chen, Qiushi Du, Ruiqi Ge, Ruisong Zhang, Rui‐Le Pan, Runji Wang, R. J. Chen, Rong Jin, Ruyi Chen, Shanghao Lu, Shangyan Zhou, Shanhuang Chen, Shengfeng Ye, Shiyu Wang, Shuiping Yu, Shunfeng Zhou, Shuting Pan, Sansan Li, Shuang Zhou, Shaoqing Wu, Tao Yun, Pei Tian",2025,Nature,https://doi.org/10.1038/s41586-025-09422-z,292,scaling,60%,"The primary contribution of this paper is to incentivize reasoning in LLMs through reinforcement learning, which improves their ability to handle more complex problems, making it a scaling contribution.","Computer science, Reinforcement learning, Artificial intelligence, Verbal reasoning, Verifiable secret sharing, Cognitive science, Coding (social sciences), Automated reasoning, Reasoning system, Non-monotonic logic, Case-based reasoning, Psychology of reasoning, Model-based reasoning","Reinforcement learning, Verbal reasoning, Verifiable secret sharing, Coding (social sciences), Automated reasoning, Reasoning system, Non-monotonic logic, Case-based reasoning","@article{DayaGuo2025,   title   = {DeepSeek-R1 incentivizes reasoning in LLMs through reinforcement learning},   author  = {Daya Guo, Dejian Yang, Haowei Zhang, Junxiao Song, Peiyi Wang, Qihao Zhu, Runxin Xu, Ruoyu Zhang, Shirong Ma, Xiao Bi, Xiaokang Zhang, Xingkai Yu, Zhenhua Wu, Zhibin Gou, Zhihong Shao, Zhuoshu Li, Ziyi Gao, Aixin Liu, Bing Xue, Bingxuan Wang, Bowen Wu, Bei Feng, Chengda Lu, Chenggang Zhao, Chengqi Deng, Chong Ruan, Damai Dai, Deli Chen, Dongjie Ji, Erhang Li, Fangyun Lin, Fengze Dai, Fuli Luo, Guangbo Hao, Guan-Ting Chen, Guowei Li, Hongjun Zhang, Hanwei Xu, Honghui Ding, Huazuo Gao, Hui Qu, Hui Li, Jianzhong Guo, Jiashi Li, Jingchang Chen, Jingyang Yuan, Jiagang Tu, Junjie Qiu, Junlong Li, Jiali Cai, Jiaqi Ni, Jian Liang, Jing Chen, Kai Dong, Kai Hu, Kaichao You, Kaige Gao, Kang Guan, Kexin Huang, Kuai Yu, Lean Wang, Lecong Zhang, Liang Zhao, Litong Wang, Liyue Zhang, Lei Xu, L. Xia, Mingchuan Zhang, Minghua Zhang, Minghui Tang, Mingxu Zhou, Meng Li, Miaojun Wang, Mingming Li, Ning Tian, Panpan Huang, Peng Zhang, Qiancheng Wang, Qinyu Chen, Qiushi Du, Ruiqi Ge, Ruisong Zhang, Rui‐Le Pan, Runji Wang, R. J. Chen, Rong Jin, Ruyi Chen, Shanghao Lu, Shangyan Zhou, Shanhuang Chen, Shengfeng Ye, Shiyu Wang, Shuiping Yu, Shunfeng Zhou, Shuting Pan, Sansan Li, Shuang Zhou, Shaoqing Wu, Tao Yun, Pei Tian},   journal = {Nature},   year    = {2025},   volume  = {645},   number  = {8081},   pages   = {633--638},   doi     = {https://doi.org/10.1038/s41586-025-09422-z}, }"
"Large language models (LLMs): survey, technical frameworks, and future challenges",Pranjal Kumar,2024,Artificial Intelligence Review,https://doi.org/10.1007/s10462-024-10888-y,213,neither,0%,"The paper provides a comprehensive overview of LLMs without improving model efficiency or scaling, instead focusing on application domains and future challenges","Computer science, Management science, Data science, Risk analysis (engineering)","Computer science, Management science, Data science, Risk analysis (engineering), Business, Economics","@article{PranjalKumar2024,   title   = {Large language models (LLMs): survey, technical frameworks, and future challenges},   author  = {Pranjal Kumar},   journal = {Artificial Intelligence Review},   year    = {2024},   volume  = {57},   number  = {10},   doi     = {https://doi.org/10.1007/s10462-024-10888-y}, }"
A Survey on RAG with LLMs,"Muhammad Arslan, Hussam Ghanem, Saba Munawar, Christophe Cruz",2024,Procedia Computer Science,https://doi.org/10.1016/j.procs.2024.09.178,118,neither,0%,"The paper is a survey about LLMs and RAG, not about improving efficiency or scaling, but rather about providing an overview of the capabilities and challenges of RAG with LLMs","Computer science, Data science, Computer security","Computer science, Data science, Computer security","@article{MuhammadArslan2024,   title   = {A Survey on RAG with LLMs},   author  = {Muhammad Arslan, Hussam Ghanem, Saba Munawar, Christophe Cruz},   journal = {Procedia Computer Science},   year    = {2024},   volume  = {246},   pages   = {3781--3790},   doi     = {https://doi.org/10.1016/j.procs.2024.09.178}, }"
Hallucinations in LLMs: Understanding and Addressing Challenges,"Gabrijela Perković, Antun Drobnjak, Ivica Botički",2024,N/A,https://doi.org/10.1109/mipro60963.2024.10569238,131,neither,0%,"Paper focuses on understanding and addressing challenges of hallucinations in LLMs, rather than improving efficiency or scaling of these models",Computer science,Computer science,"@article{GabrijelaPerković2024,   title   = {Hallucinations in LLMs: Understanding and Addressing Challenges},   author  = {Gabrijela Perković, Antun Drobnjak, Ivica Botički},   journal = {N/A},   year    = {2024},   pages   = {2084--2088},   doi     = {https://doi.org/10.1109/mipro60963.2024.10569238}, }"
Who Validates the Validators? Aligning LLM-Assisted Evaluation of LLM Outputs with Human Preferences,"Shreya Shankar, J.D. Zamfirescu-Pereira, Bjoern Hartmann, Aditya Parameswaran, Ian Arawjo",2024,N/A,https://doi.org/10.1145/3654777.3676450,112,neither,90%,"The paper focuses on aligning LLM-generated evaluators with human preferences, which is not about improving AI/ML models themselves, but rather about improving the alignment and reliability of evaluation tools, making it neither an efficiency nor scaling problem",Computer science,Computer science,"@article{ShreyaShankar2024,   title   = {Who Validates the Validators? Aligning LLM-Assisted Evaluation of LLM Outputs with Human Preferences},   author  = {Shreya Shankar, J.D. Zamfirescu-Pereira, Bjoern Hartmann, Aditya Parameswaran, Ian Arawjo},   journal = {N/A},   year    = {2024},   pages   = {1--14},   doi     = {https://doi.org/10.1145/3654777.3676450}, }"
