title,year,doi,classification,reason
Classifying Anxiety and Depression through LLMs Virtual Interactions: A Case Study with ChatGPT,2023,https://doi.org/10.1109/bibm58861.2023.10385305,neither,"The paper focuses on building a virtual interaction framework for assisted diagnosis/treatment, using ChatGPT for cognitive behavior therapy, and exploring its potential for depression and anxiety detection, without explicitly discussing efficiency or scaling."
Expanding the Category of Classifiers with LLM Supervision,2024,https://doi.org/10.24963/ijcai.2024/657,efficiency,"the abstract mentions 'cost-effective' and 'flexible systems' indicating a focus on making models faster, cheaper or more efficient"
FELLMVP: An Ensemble LLM Framework for Classifying Smart Contract Vulnerabilities,2024,https://doi.org/10.1109/blockchain62396.2024.00021,efficiency,"The abstract mentions fine-tuning eight LLMs, leveraging their collective predictive capabilities, and demonstrating improved performance over existing methods, indicating an emphasis on efficiency."
Can Large Language Models Transform Computational Social Science?,2023,https://doi.org/10.1162/coli_a_00502,both,The paper covers both efficiency (using LLMs as zero-shot data annotators or bootstrapping creative generation tasks) and scaling (using LLMs to augment the CSS pipeline with new capabilities)
Classifying Course Discussion Board Questions using LLMs,2023,https://doi.org/10.1145/3587103.3594202,efficiency,"the abstract mentions achieving higher accuracy on classifying not answerable questions, indicating the model can efficiently handle unaddressable questions"
Bias and Fairness in Large Language Models: A Survey,2024,https://doi.org/10.1162/coli_a_00524,neither,"The paper focuses on bias evaluation and mitigation techniques for LLMs, applications, benchmarks, and datasets, rather than efficiency or scaling."
The Internal State of an LLM Knows When It’s Lying,2023,https://doi.org/10.18653/v1/2023.findings-emnlp.68,both,The paper addresses both efficiency (improving truthfulness detection) and scaling (using hidden layer activations of LLMs) in the context of Large Language Models
Leveraging LLMs for Translating and Classifying Mental Health Data,2024,https://doi.org/10.18653/v1/2024.mrl-1.20,neither,"The paper focuses on the application of LLMs in mental health support, but does not explicitly discuss efficiency or scaling in terms of model size or computational resources."
Title and abstract screening for literature reviews using large language models: an exploratory study in the biomedical domain,2024,https://doi.org/10.1186/s13643-024-02575-4,neither,"The abstract does not explicitly mention efficiency, scaling, or related keywords, and the focus is on literature reviews and LLMs, which is outside the scope of efficiency or scaling."
Expanding the Category of Classifiers with LLM Supervision,2025,https://doi.org/10.24963/ijcai.2025/657,efficiency,"The abstract mentions cost-effectiveness and reducing the need for human intervention, suggesting a focus on making models cheaper and more efficient."
