title,year,doi,classification,reason
DeepSeek-R1 incentivizes reasoning in LLMs through reinforcement learning,2025,https://doi.org/10.1038/s41586-025-09422-z,efficiency,paper improves the efficiency of large language models by replacing human demonstrations with reinforcement learning
AWQ: Activation-aware Weight Quantization for On-Device LLM Compression and Acceleration,2025,https://doi.org/10.1145/3714983.3714987,efficiency,paper focuses on making models smaller and reducing model size while preserving performance
A framework to assess clinical safety and hallucination rates of LLMs for medical text summarisation,2025,https://doi.org/10.1038/s41746-025-01670-7,efficiency,paper aims to improve the performance of LLMs in clinical text summarisation by reducing errors and enhancing workflow efficiency
"A Survey on LLM-Generated Text Detection: Necessity, Methods, and Future Directions",2025,https://doi.org/10.1162/coli_a_00549,neither,"The paper is about developing and evaluating detection mechanisms for identifying LLM-generated text, which does not fall under efficiency or scaling but rather focuses on the field of artificial intelligence and its applications."
LLM-based NLG Evaluation: Current Status and Challenges,2025,https://doi.org/10.1162/coli_a_00561,neither,"paper is about evaluating and discussing various methods for natural language generation, not specifically about making models faster, smaller, or cheaper, or bigger, or using more data"
LLM4TS: Aligning Pre-Trained LLMs as Data-Efficient Time-Series Forecasters,2025,https://doi.org/10.1145/3719207,efficiency,"paper optimizes existing pre-trained LLMs for time-series forecasting tasks, reducing the need for large amounts of data and fine-tuning, increasing efficiency."
"Integrating LLMs With ITS: Recent Advances, Potentials, Challenges, and Future Directions",2025,https://doi.org/10.1109/tits.2025.3528116,efficiency,"The paper discusses how LLMs can enhance traffic management and safety, indicating that the focus is on improving the efficiency of ITS systems."
Delving into LLM-assisted writing in biomedical publications through excess vocabulary,2025,https://doi.org/10.1126/sciadv.adt3813,both,"paper is about the impact of LLMs on writing, which can be seen as both increasing the frequency of certain style words (efficiency) and having a profound effect on the field of biomedical research (scaling)"
Discovery of antimicrobial peptides with notable antibacterial potency by an LLM-based foundation model,2025,https://doi.org/10.1126/sciadv.ads8932,efficiency,"the paper describes how the LLM-based approach, AMP-Designer, achieves rapid design and validation of antimicrobial peptides with a high success rate."
"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead",2025,https://doi.org/10.1145/3712003,scaling,paper is about making models bigger or using more data
